run_id,run_name,width,height,learning_rate,iterations,quantization_error
9370a05f95e94dd6ba4317b78569b8a0,som_50x50_i100_lr0.05,50,50,0.05,100,0.08670515733436734
c9ea94bda09a467fba81c0b117f5321b,som_30x30_i100_lr0.05,30,30,0.05,100,0.11258571486713144
f8efd6c33fd9407ca192331ded6f9eda,som_20x20_i100_lr0.05,20,20,0.05,100,0.1427066169559801
c21feef8245b49119ac694962dd39680,som_50x50_i200_lr0.05,50,50,0.05,200,0.14881416474081444
db5a1edd22b048c09a0b1124800440d5,som_50x50_i100_lr0.1,50,50,0.1,100,0.1547141491345244
3e1d67acb0f8415489f967990f447e42,som_30x30_i200_lr0.05,30,30,0.05,200,0.17754180416465584
a04cd125acb743f98c02d5d93cdc7a69,som_30x30_i100_lr0.1,30,30,0.1,100,0.187894705357018
2b915cba419940978929327259b68f83,som_50x50_i200_lr0.1,50,50,0.1,200,0.19597935863101085
e92817105242499594bdcffced925dce,som_20x20_i100_lr0.1,20,20,0.1,100,0.20101315626445038
bc651862bf8449d890d994bdb7267291,som_20x20_i200_lr0.05,20,20,0.05,200,0.20561964403432567
73ab83f5f0c34adf9061f3cd3dbab117,som_30x30_i200_lr0.1,30,30,0.1,200,0.2293239186314748
04fe73d1e21b418394eec15dea77d6e2,som_20x20_i200_lr0.1,20,20,0.1,200,0.253188285421377
